magnitude,depth,sig,nst,dmin,gap,cdi,mmi,latitude,longitude,Year,Month,tsunami
0.1923076923076925,0.012944983818770227,0.052212389380530966,0.1252676659528908,0.028831992749518524,0.0711297071129707,8.0,7.0,-9.7963,159.596,2022.0,11.0,1.0
0.1538461538461542,0.03074433656957929,0.03761061946902655,0.10599571734475376,0.12626033760054378,0.1422594142259414,4.0,4.0,-4.9559,100.738,2022.0,11.0,0.0
0.1923076923076925,0.9271844660194175,0.04646017699115046,0.1573875802997859,0.177013707941543,0.07531380753138074,3.0,3.0,-20.0508,-178.346,2022.0,11.0,1.0
0.30769230769230793,0.05016181229773463,0.08097345132743361,0.15952890792291222,0.10564178089951286,0.08786610878661087,5.0,5.0,-19.2918,-172.129,2022.0,11.0,1.0
0.038461538461538325,1.0,0.008849557522123908,0.14025695931477516,0.2831086439333862,0.11297071129707112,0.0,2.0,-25.5948,178.278,2022.0,11.0,1.0
0.1923076923076925,1.0,0.04646017699115046,0.15203426124197003,0.25931800158604285,0.10878661087866108,4.0,3.0,-26.0442,178.381,2022.0,11.0,1.0
0.11538461538461542,1.0,0.02699115044247785,0.14561027837259102,0.2649824402401722,0.09205020920502091,1.0,3.0,-25.9678,178.363,2022.0,11.0,1.0
0.0769230769230771,0.022653721682847898,0.06504424778761059,0.15524625267665954,0.06519768890902912,0.15481171548117154,7.0,6.0,7.6712,-82.3396,2022.0,10.0,1.0
0.11538461538461542,0.022653721682847898,0.23407079646017703,0.1873661670235546,0.12104905403874476,0.3849372384937238,8.0,7.0,18.33,-102.913,2022.0,9.0,1.0
0.4230769230769229,0.033888349514563106,0.5084070796460177,0.29014989293361887,0.0653109776821117,0.28870292887029286,9.0,8.0,18.3667,-103.252,2022.0,9.0,1.0
0.1538461538461542,0.0064724919093851144,0.10486725663716812,0.2301927194860814,0.0227143990030588,0.1422594142259414,9.0,9.0,23.1444,121.307,2022.0,9.0,1.0
0.0,0.0064724919093851144,0.04690265486725664,0.19057815845824413,0.024357086212756316,0.22594142259414224,7.0,7.0,23.029,121.348,2022.0,9.0,1.0
0.1923076923076925,0.21197411003236247,0.04911504424778762,0.20556745182012848,0.1686303387334315,0.18828451882845187,7.0,5.0,-21.2077,170.239,2022.0,9.0,1.0
0.4230769230769229,0.17799352750809064,0.13938053097345132,0.29122055674518205,0.1788829726974057,0.050209205020920494,8.0,8.0,-6.2237,146.471,2022.0,9.0,1.0
0.038461538461538325,0.00970873786407767,0.17389380530973453,0.15096359743040685,0.47887164382009745,0.1422594142259414,9.0,8.0,29.7263,102.279,2022.0,9.0,0.0
0.038461538461538325,0.038834951456310676,0.009734513274336276,0.07280513918629551,0.29981873796306785,0.1422594142259414,7.0,6.0,-32.6922,-178.959,2022.0,8.0,1.0
0.1923076923076925,0.04486893203883495,0.3101769911504425,0.16274089935760172,0.29885578339186586,0.09205020920502091,9.0,8.0,17.5978,120.809,2022.0,7.0,1.0
0.0,0.9979449838187704,0.0013274336283185528,0.25267665952890794,0.11323212869604622,0.12970711297071127,3.0,2.0,-9.0618,-71.1647,2022.0,6.0,0.0
0.2692307692307696,0.37216828478964403,0.09999999999999998,0.15417558886509636,0.14127110003398666,0.16736401673640167,7.0,5.0,-14.8628,-70.3081,2022.0,5.0,1.0
0.1538461538461542,0.0064724919093851144,0.03672566371681413,0.13597430406852248,0.021015067406819982,0.18828451882845187,2.0,5.0,-54.1325,159.027,2022.0,5.0,1.0
0.11538461538461542,0.34627831715210355,0.049557522123893805,0.1734475374732334,0.0852498017446471,0.12552301255230125,6.0,5.0,-23.6141,-66.7236,2022.0,5.0,1.0
0.038461538461538325,0.03398058252427184,0.049557522123893805,0.0,0.0517729692987425,0.3933054393305439,6.0,5.0,11.5538,-86.9919,2022.0,4.0,1.0
0.1923076923076925,0.0064724919093851144,0.04999999999999999,0.0,0.15322306559419963,0.10878661087866108,6.0,4.0,-22.5732,170.349,2022.0,3.0,1.0
0.1538461538461542,0.0064724919093851144,0.038938053097345104,0.0,0.15276991050186928,0.17573221757322174,6.0,4.0,-22.72,170.277,2022.0,3.0,1.0
0.0769230769230771,0.02912621359223301,0.06902654867256636,0.0,0.016370227710433893,0.13389121338912133,8.0,7.0,23.3421,121.636,2022.0,3.0,1.0
0.30769230769230793,0.05663430420711974,0.7730088495575221,0.0,0.16630791888523846,0.1213389121338912,9.0,8.0,37.7015,141.587,2022.0,3.0,1.0
0.0769230769230771,0.03559870550161812,0.0256637168141593,0.0,0.12393791775235075,0.1799163179916318,9.0,6.0,-0.6831,98.6034,2022.0,3.0,0.0
0.038461538461538325,0.02912621359223301,0.008849557522123908,0.0,0.04684490766964994,0.1924686192468619,2.0,7.0,-30.0528,-177.74,2022.0,3.0,1.0
0.11538461538461542,0.8559870550161812,0.02743362831858409,0.0,0.3274045542086779,0.050209205020920494,2.0,3.0,-23.7852,-179.968,2022.0,2.0,1.0
0.0,0.16828478964401294,0.01769911504424776,0.0,0.1714059136739549,0.09205020920502091,8.0,6.0,-4.455,-76.9395,2022.0,2.0,0.0
0.0,0.0032362459546925564,0.0004424778761061843,0.0,0.06162909255692761,0.23849372384937237,7.0,4.0,-29.535,-176.729,2022.0,1.0,1.0
0.038461538461538325,0.043689320388349516,0.059734513274336265,0.0,0.13696612665684832,0.09205020920502091,8.0,6.0,-6.9291,105.251,2022.0,1.0,0.0
0.0,0.05016181229773463,0.0,0.10385438972162742,0.09154129375778859,0.4518828451882845,0.0,3.0,52.502,-168.08,2022.0,1.0,1.0
